season,week,team,opponent,rule,lineup_type,same_as_baseline,slot,player,position,vs,predicted_expected_pts,realized_pts,lineup_expected,lineup_realized,opponent_realized,won,target,alpha,lam,cvar
2025,2,Team5,Team4,cvar_averse,baseline,false,QB,Russell Wilson,QB,DAL,14.472076825222024,30.3,90.42602660978726,143.2,100.4,true,,,,
2025,2,Team5,Team4,cvar_averse,baseline,false,RB1,Tyrone Tracy Jr.,RB,DAL,11.577813726324353,9.1,90.42602660978726,143.2,100.4,true,,,,
2025,2,Team5,Team4,cvar_averse,baseline,false,RB2,Alvin Kamara,RB,SF,14.031505894363784,16.0,90.42602660978726,143.2,100.4,true,,,,
2025,2,Team5,Team4,cvar_averse,baseline,false,WR1,Malik Nabers,WR,DAL,13.924797980913205,37.7,90.42602660978726,143.2,100.4,true,,,,
2025,2,Team5,Team4,cvar_averse,baseline,false,WR2,Terry McLaurin,WR,GB,9.91016139531327,9.8,90.42602660978726,143.2,100.4,true,,,,
2025,2,Team5,Team4,cvar_averse,baseline,false,TE,Trey McBride,TE,CAR,14.148431036319629,13.8,90.42602660978726,143.2,100.4,true,,,,
2025,2,Team5,Team4,cvar_averse,baseline,false,FLEX,James Cook,RB,NYJ,12.361239751330984,26.5,90.42602660978726,143.2,100.4,true,,,,
2025,2,Team5,Team4,cvar_averse,rule,false,QB,Joe Burrow,QB,JAX,13.37264883949595,7.04,89.0218866642184,120.03999999999999,100.4,true,90.42602660978726,0.1,3.0,43.805348434048554
2025,2,Team5,Team4,cvar_averse,rule,false,RB1,James Cook,RB,NYJ,12.361239751330984,26.5,89.0218866642184,120.03999999999999,100.4,true,90.42602660978726,0.1,3.0,43.805348434048554
2025,2,Team5,Team4,cvar_averse,rule,false,RB2,Tony Pollard,RB,LA,11.27310176648161,9.2,89.0218866642184,120.03999999999999,100.4,true,90.42602660978726,0.1,3.0,43.805348434048554
2025,2,Team5,Team4,cvar_averse,rule,false,WR1,Malik Nabers,WR,DAL,13.924797980913205,37.7,89.0218866642184,120.03999999999999,100.4,true,90.42602660978726,0.1,3.0,43.805348434048554
2025,2,Team5,Team4,cvar_averse,rule,false,WR2,Terry McLaurin,WR,GB,9.91016139531327,9.8,89.0218866642184,120.03999999999999,100.4,true,90.42602660978726,0.1,3.0,43.805348434048554
2025,2,Team5,Team4,cvar_averse,rule,false,TE,Trey McBride,TE,CAR,14.148431036319629,13.8,89.0218866642184,120.03999999999999,100.4,true,90.42602660978726,0.1,3.0,43.805348434048554
2025,2,Team5,Team4,cvar_averse,rule,false,FLEX,Alvin Kamara,RB,SF,14.031505894363784,16.0,89.0218866642184,120.03999999999999,100.4,true,90.42602660978726,0.1,3.0,43.805348434048554
2025,3,Team5,Team2,cvar_averse,baseline,true,QB,Russell Wilson,QB,KC,15.095236548710863,5.1,90.14901101298418,75.39999999999999,86.51999999999998,false,,,,
2025,3,Team5,Team2,cvar_averse,baseline,true,RB1,Tony Pollard,RB,IND,12.147938178656085,13.9,90.14901101298418,75.39999999999999,86.51999999999998,false,,,,
2025,3,Team5,Team2,cvar_averse,baseline,true,RB2,James Cook,RB,MIA,12.614949452638378,20.8,90.14901101298418,75.39999999999999,86.51999999999998,false,,,,
2025,3,Team5,Team2,cvar_averse,baseline,true,WR1,Malik Nabers,WR,KC,12.239042144754226,3.3,90.14901101298418,75.39999999999999,86.51999999999998,false,,,,
2025,3,Team5,Team2,cvar_averse,baseline,true,WR2,Terry McLaurin,WR,LV,12.82103530490038,10.4,90.14901101298418,75.39999999999999,86.51999999999998,false,,,,
2025,3,Team5,Team2,cvar_averse,baseline,true,TE,Trey McBride,TE,SF,11.504686908196478,15.3,90.14901101298418,75.39999999999999,86.51999999999998,false,,,,
2025,3,Team5,Team2,cvar_averse,baseline,true,FLEX,Alvin Kamara,RB,SEA,13.726122475127731,6.6,90.14901101298418,75.39999999999999,86.51999999999998,false,,,,
2025,3,Team5,Team2,cvar_averse,rule,true,QB,Russell Wilson,QB,KC,15.095236548710863,5.1,90.14901101298418,75.39999999999999,86.51999999999998,false,90.14901101298418,0.1,3.0,41.834957523371216
2025,3,Team5,Team2,cvar_averse,rule,true,RB1,Tony Pollard,RB,IND,12.147938178656085,13.9,90.14901101298418,75.39999999999999,86.51999999999998,false,90.14901101298418,0.1,3.0,41.834957523371216
2025,3,Team5,Team2,cvar_averse,rule,true,RB2,James Cook,RB,MIA,12.614949452638378,20.8,90.14901101298418,75.39999999999999,86.51999999999998,false,90.14901101298418,0.1,3.0,41.834957523371216
2025,3,Team5,Team2,cvar_averse,rule,true,WR1,Malik Nabers,WR,KC,12.239042144754226,3.3,90.14901101298418,75.39999999999999,86.51999999999998,false,90.14901101298418,0.1,3.0,41.834957523371216
2025,3,Team5,Team2,cvar_averse,rule,true,WR2,Terry McLaurin,WR,LV,12.82103530490038,10.4,90.14901101298418,75.39999999999999,86.51999999999998,false,90.14901101298418,0.1,3.0,41.834957523371216
2025,3,Team5,Team2,cvar_averse,rule,true,TE,Trey McBride,TE,SF,11.504686908196478,15.3,90.14901101298418,75.39999999999999,86.51999999999998,false,90.14901101298418,0.1,3.0,41.834957523371216
2025,3,Team5,Team2,cvar_averse,rule,true,FLEX,Alvin Kamara,RB,SEA,13.726122475127731,6.6,90.14901101298418,75.39999999999999,86.51999999999998,false,90.14901101298418,0.1,3.0,41.834957523371216
2025,4,Team5,Team9,cvar_averse,baseline,true,QB,Russell Wilson,QB,LAC,12.058196285138015,0.32,85.13433471596356,69.32,91.6,false,,,,
2025,4,Team5,Team9,cvar_averse,baseline,true,RB1,James Cook,RB,NO,16.30650983528648,22.5,85.13433471596356,69.32,91.6,false,,,,
2025,4,Team5,Team9,cvar_averse,baseline,true,RB2,Tony Pollard,RB,HOU,12.49101336667869,10.600000000000001,85.13433471596356,69.32,91.6,false,,,,
2025,4,Team5,Team9,cvar_averse,baseline,true,WR1,Jerry Jeudy,WR,DET,8.460772734263818,7.8,85.13433471596356,69.32,91.6,false,,,,
